iter	Passed	Remaining
0	1	150
1	5	255
2	10	326
3	11	273
4	13	247
5	14	229
6	15	211
7	17	197
8	18	188
9	20	183
10	21	175
11	24	178
12	26	177
13	28	175
14	30	172
15	31	166
16	33	162
17	34	158
18	35	152
19	40	162
20	43	162
21	44	158
22	45	153
23	46	148
24	48	144
25	49	140
26	50	136
27	51	132
28	55	134
29	57	133
30	58	129
31	59	126
32	60	122
33	61	119
34	62	116
35	64	115
36	66	112
37	67	110
38	69	108
39	70	105
40	71	103
41	72	99
42	73	97
43	74	94
44	75	92
45	76	90
46	78	88
47	79	85
48	81	84
49	82	82
50	84	80
51	85	78
52	86	77
53	88	75
54	89	73
55	91	72
56	93	70
57	94	68
58	98	68
59	99	66
60	100	64
61	102	62
62	103	60
63	104	58
64	106	57
65	107	55
66	108	53
67	109	51
68	111	50
69	112	48
70	114	46
71	115	44
72	118	43
73	120	42
74	121	40
75	122	38
76	123	37
77	127	36
78	129	34
79	130	32
80	131	30
81	132	29
82	134	27
83	135	25
84	136	24
85	137	22
86	138	20
87	141	19
88	143	17
89	144	16
90	145	14
91	147	12
92	148	11
93	149	9
94	150	7
95	151	6
96	152	4
97	153	3
98	157	1
99	158	0
