iter	Passed	Remaining
0	132	132189
1	133	66623
2	134	44789
3	135	33854
4	137	27303
5	138	22923
6	143	20343
7	144	17957
8	146	16090
9	147	14586
10	148	13349
11	149	12321
12	150	11454
13	152	10707
14	153	10059
15	156	9637
16	159	9220
17	160	8774
18	161	8364
19	163	7997
20	164	7665
21	165	7362
22	166	7086
23	167	6830
24	169	6596
25	175	6568
26	176	6368
27	177	6176
28	179	5996
29	180	5830
30	181	5675
31	182	5528
32	183	5391
33	188	5343
34	189	5234
35	191	5122
36	192	5011
37	193	4903
38	194	4801
39	196	4704
40	197	4611
41	198	4524
42	203	4537
43	205	4463
44	206	4385
45	207	4309
46	209	4238
47	210	4168
48	211	4101
49	212	4036
50	213	3974
51	217	3970
52	219	3930
53	221	3878
54	222	3825
55	223	3771
56	224	3721
57	226	3673
58	227	3628
59	228	3583
60	233	3586
61	234	3550
62	236	3511
63	237	3469
64	238	3429
65	239	3389
66	240	3351
67	241	3314
68	242	3278
69	244	3243
70	248	3247
71	250	3222
72	251	3192
73	252	3159
74	253	3128
75	254	3098
76	255	3068
77	257	3039
78	258	3010
79	259	2982
80	264	3003
81	266	2978
82	266	2946
83	267	2919
84	268	2894
85	270	2869
86	271	2847
87	272	2824
88	273	2801
89	277	2801
90	279	2792
91	281	2773
92	282	2752
93	283	2734
94	285	2716
95	286	2698
96	288	2681
97	289	2666
98	297	2706
99	298	2687
100	299	2667
101	300	2648
102	302	2630
103	303	2611
104	304	2592
105	308	2604
106	310	2594
107	312	2579
108	313	2562
109	314	2545
110	315	2529
111	317	2513
112	318	2497
113	319	2481
114	320	2465
115	321	2453
116	322	2437
117	324	2423
118	325	2409
119	326	2394
120	327	2379
121	328	2364
122	329	2350
123	330	2336
124	331	2322
125	334	2317
126	335	2305
127	336	2292
128	337	2280
129	338	2267
130	340	2255
131	341	2243
132	342	2231
133	343	2219
134	344	2207
135	349	2220
136	350	2209
137	352	2198
138	353	2187
139	354	2176
140	355	2165
141	356	2152
142	357	2142
143	358	2133
144	365	2155
145	368	2155
146	369	2146
147	371	2136
148	372	2127
149	373	2117
150	374	2106
151	379	2114
152	381	2110
153	382	2102
154	383	2092
155	385	2086
156	388	2084
157	389	2075
158	395	2089
159	396	2081
160	397	2070
161	398	2061
162	399	2052
163	400	2043
164	402	2035
165	403	2027
166	404	2018
167	411	2038
168	413	2030
169	414	2022
170	415	2013
171	416	2005
172	417	1996
173	418	1988
174	419	1979
175	424	1989
176	426	1982
177	427	1974
178	428	1966
179	429	1958
180	431	1950
181	432	1942
182	433	1934
183	434	1926
184	435	1918
185	440	1929
186	442	1923
187	443	1915
188	444	1908
189	445	1900
190	446	1892
191	448	1886
192	449	1879
193	450	1871
194	455	1879
195	456	1873
196	458	1866
197	459	1860
198	460	1853
199	461	1845
200	462	1839
201	463	1832
202	464	1825
203	469	1833
204	471	1828
205	472	1821
206	473	1814
207	474	1808
208	476	1801
209	477	1795
210	478	1788
211	479	1781
212	480	1775
213	484	1779
214	486	1775
215	487	1771
216	489	1764
217	490	1758
218	491	1751
219	492	1746
220	494	1742
221	495	1736
222	498	1737
223	500	1734
224	502	1729
225	511	1750
226	516	1759
227	518	1755
228	525	1770
229	527	1765
230	528	1760
231	530	1755
232	531	1749
233	533	1745
234	537	1749
235	539	1745
236	540	1739
237	541	1734
238	543	1728
239	544	1723
240	545	1717
241	546	1712
242	548	1708
243	553	1715
244	555	1710
245	557	1708
246	559	1706
247	561	1701
248	562	1695
249	563	1689
250	564	1683
251	566	1681
252	567	1676
253	568	1670
254	570	1665
255	571	1661
256	573	1657
257	574	1652
258	575	1647
259	579	1649
260	581	1646
261	582	1641
262	584	1637
263	585	1632
264	586	1627
265	588	1622
266	589	1617
267	590	1611
268	591	1606
269	596	1612
270	597	1607
271	599	1603
272	600	1599
273	601	1594
274	603	1589
275	604	1584
276	605	1579
277	606	1574
278	612	1583
279	613	1578
280	615	1574
281	616	1570
282	618	1567
283	619	1562
284	620	1557
285	625	1560
286	627	1558
287	628	1553
288	630	1550
289	631	1546
290	633	1542
291	634	1537
292	635	1533
293	636	1528
294	642	1535
295	643	1531
296	645	1527
297	646	1523
298	648	1519
299	649	1515
300	650	1510
301	651	1506
302	657	1511
303	658	1507
304	659	1503
305	660	1498
306	662	1494
307	663	1490
308	664	1486
309	666	1483
310	671	1487
311	672	1483
312	674	1480
313	675	1476
314	677	1472
315	678	1468
316	679	1464
317	680	1460
318	681	1455
319	686	1458
320	687	1455
321	689	1451
